episode_id;episode_season;episode_original_air_date;episode_imdb_rating;episode_imdb_votes;episode_us_viewers_in_millions;episode_views
141;Two Bad Neighbors;1996-01-14;8.7;1264.0;16.5;64224.0
144;Lisa the Iconoclast;1996-02-18;8.1;1039.0;13.4;58795.0
136;Mother Simpson;1995-11-19;8.5;1226.0;15.3;61085.0
150;"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish""";1996-04-28;8.3;1122.0;13.0;69120.0
152;Homerpalooza;1996-05-19;8.0;1095.0;12.9;60569.0
181;Lisa's Sax;1997-10-19;8.1;980.0;12.9;20008.0
166;Simpsoncalifragilisticexpiala(Annoyed Grunt)cious;1997-02-07;7.7;1088.0;17.7;57608.0
154;Treehouse of Horror VII;1996-10-27;8.3;1186.0;18.3;102077.0
169;Brother from Another Series;1997-02-23;8.2;1100.0;15.1;56659.0
156;The Homer They Fall;1996-11-10;8.0;1085.0;17.0;61146.0
158;Bart After Dark;1996-11-24;8.2;1098.0;14.1;60210.0
202;Lost Our Lisa;1998-05-10;7.7;880.0;7.6;55316.0
199;Girly Edition;1998-04-19;7.9;905.0;8.5;21811.0
187;Realty Bites;1997-12-07;7.5;888.0;10.6;25183.0
174;The Old Man and the Lisa;1997-04-20;7.9;967.0;14.0;56833.0
159;A Milhouse Divided;1996-12-01;8.0;1008.0;12.8;60956.0
170;My Sister, My Sitter;1997-03-02;8.1;1020.0;15.1;54247.0
193;The Last Temptation of Krust;1998-02-22;7.5;878.0;9.5;20298.0
183;The Cartridge Family;1997-11-02;8.2;1081.0;10.3;30921.0
172;Grade School Confidential;1997-04-06;8.2;995.0;13.3;60584.0
161;Hurricane Neddy;1996-12-29;8.8;1268.0;;66281.0
197;Simpson Tide;1998-03-29;8.3;1026.0;9.0;23127.0
177;The Simpsons Spin-Off Showcase;1997-05-11;7.3;1006.0;11.6;57926.0
179;The City of New York vs. Homer Simpson;1997-09-21;9.1;1918.0;10.5;62962.0
188;Miracle on Evergreen Terrace;1997-12-21;7.6;958.0;9.6;19899.0
201;King of the Hill;1998-05-03;8.3;962.0;9.2;60952.0
192;Das Bus;1998-02-15;8.1;1036.0;9.6;32487.0
204;Lard of the Dance;1998-08-23;7.6;932.0;7.0;56018.0
190;Bart Carny;1998-01-11;7.7;938.0;11.7;22426.0
195;Lisa the Simpson;1998-03-08;8.0;957.0;10.4;21608.0
146;The Day the Violence Died;1996-03-17;8.0;1016.0;14.4;57809.0
208;When You Dish Upon a Star;1998-11-08;7.3;934.0;9.0;43485.0
210;"Lisa Gets an ""A""";1998-11-22;8.0;909.0;8.0;50013.0
211;"Homer Simpson in: ""Kidney Trouble""";1998-12-06;7.3;863.0;7.2;50300.0
252;Lisa the Tree Hugger;2000-11-19;7.2;731.0;14.9;39480.0
215;Sunday, Cruddy Sunday;1999-01-31;6.9;880.0;11.5;50051.0
220;Maximum Homerdrive;1999-03-28;7.6;843.0;15.5;54195.0
232;Hello Gutter, Hello Fadder;1999-11-14;7.3;759.0;9.2;44615.0
221;Simpsons Bible Stories;1999-04-04;7.3;851.0;12.2;47155.0
260;Tennis the Menace;2001-02-11;6.9;730.0;14.0;51004.0
213;Viva Ned Flanders;1999-01-10;7.8;928.0;11.5;56561.0
230;Treehouse of Horror X;1999-10-31;7.7;876.0;8.7;47980.0
246;Last Tap Dance in Springfield;2000-05-07;7.2;716.0;7.3;47061.0
228;Brother's Little Helper;1999-10-03;7.5;776.0;7.1;44172.0
223;"The Old Man and the ""C"" Student";1999-04-25;7.3;779.0;6.9;47550.0
243;Bart to the Future;2000-03-19;7.0;780.0;8.77;75315.0
227;Beyond Blunderdome;1999-09-26;7.3;917.0;8.1;34394.0
225;They Saved Lisa's Brain;1999-05-09;7.3;804.0;6.8;47951.0
216;Homer to the Max;1999-02-07;7.7;882.0;8.3;55726.0
234;Take My Wife, Sleaze;1999-11-28;7.1;775.0;8.9;41484.0
236;Little Big Mom;2000-01-09;7.3;715.0;10.0;48194.0
237;Faith Off;2000-01-16;6.9;734.0;10.4;43869.0
259;Worst Episode Ever;2001-02-04;7.5;761.0;18.5;49893.0
239;Saddlesore Galactica;2000-02-06;6.6;822.0;9.6;41259.0
248;Behind the Laughter;2000-05-21;7.9;955.0;8.3;74046.0
255;The Great Money Caper;2000-12-10;7.3;766.0;16.8;49325.0
241;Missionary: Impossible;2000-02-20;7.3;777.0;9.8;50427.0
244;Days of Wine and D'oh'ses;2000-04-09;7.4;724.0;8.3;48786.0
148;Bart on the Road;1996-03-31;8.6;1110.0;11.8;70913.0
264;Bye, Bye, Nerdie;2001-03-11;6.5;691.0;16.1;45718.0
267;I'm Goin' to Praiseland;2001-05-06;7.3;721.0;13.1;49321.0
269;Simpsons Tall Tales;2001-05-20;7.0;688.0;13.4;56698.0
287;I Am Furious (Yellow);2002-04-28;7.7;704.0;12.4;69650.0
288;The Sweetest Apu;2002-05-05;6.9;598.0;11.8;47193.0
316;The President Wore Pearls;2003-11-16;7.0;631.0;12.7;37456.0
271;The Parent Rap;2001-11-11;7.1;674.0;14.9;47251.0
285;Weekend at Burnsie's;2002-04-07;7.7;765.0;12.5;54539.0
295;Large Marge;2002-11-24;7.1;704.0;17.4;55369.0
280;The Bart Wants What It Wants;2002-02-17;7.1;621.0;11.2;45176.0
305;Mr. Spritz Goes to Washington;2003-03-09;6.9;577.0;14.4;44837.0
273;A Hunka Hunka Burns in Love;2001-12-02;7.2;651.0;13.4;37376.0
293;How I Spent My Strummer Vacation;2002-11-10;7.3;713.0;12.5;35578.0
275;She of Little Faith;2001-12-16;7.1;692.0;13.2;45824.0
296;Helter Shelter;2002-12-01;6.8;633.0;15.1;42907.0
283;Tales from the Public Domain;2002-03-17;7.3;630.0;11.7;50301.0
300;The Strong Arms of the Ma;2003-02-02;6.9;644.0;15.4;51877.0
276;Brawl in the Family;2002-01-06;6.9;649.0;11.8;45684.0
278;Jaws Wired Shut;2002-01-27;7.3;642.0;14.2;49429.0
289;Little Girl in the Big Ten;2002-05-12;7.2;613.0;11.2;46466.0
310;Old Yeller-Belly;2003-05-04;6.8;574.0;11.59;43223.0
298;Special Edna;2003-01-05;7.1;593.0;15.0;40867.0
302;Barting Over;2003-02-16;6.6;650.0;21.3;47276.0
309;Dude, Where's My Ranch?;2003-04-27;7.0;651.0;11.71;49000.0
312;The Bart of War;2003-05-18;6.6;575.0;12.1;50464.0
314;Treehouse of Horror XIV;2003-11-02;7.4;738.0;16.22;68381.0
165;Mountain of Madness;1997-02-02;8.6;1137.0;9.1;60763.0
319;Today I Am a Clown;2003-12-07;6.6;576.0;10.5;37890.0
321;Marge vs. Singles, Seniors, Childless Couples and Teens and Gays;2004-01-04;6.7;589.0;12.0;50276.0
323;Diatribe of a Mad Housewife;2004-01-25;7.3;596.0;10.6;45062.0
337;All's Fair in Oven War;2004-11-14;7.0;566.0;11.64;41064.0
334;Bart-Mangled Banner;2004-05-16;6.2;593.0;8.7;56275.0
353;A Star Is Torn;2005-05-08;6.8;554.0;8.72;44500.0
362;See Homer Run;2005-11-20;6.9;543.0;10.3;40306.0
325;Milhouse Doesn't Live Here Anymore;2004-02-15;7.3;583.0;9.4;46792.0
327;The Ziff Who Came to Dinner;2004-03-14;6.9;568.0;10.7;43747.0
343;Homer and Ned's Hail Mary Pass;2005-02-06;6.4;582.0;23.07;43356.0
358;The Girl Who Slept Too Little;2005-09-18;6.9;585.0;9.79;35717.0
329;The Wandering Juvie;2004-03-28;6.9;599.0;10.5;44539.0
359;Milhouse of Sand and Fog;2005-09-25;7.0;558.0;10.19;35779.0
360;Treehouse of Horror XVI;2005-11-06;7.3;646.0;11.63;74401.0
366;Homer's Paternity Coot;2006-01-08;6.7;554.0;10.1;39552.0
339;She Used to Be My Girl;2004-12-05;6.6;562.0;10.81;38908.0
330;My Big Fat Geek Wedding;2004-04-18;6.7;560.0;9.2;42440.0
350;Future-Drama;2005-04-17;7.3;615.0;8.31;53146.0
364;The Italian Bob;2005-12-11;7.0;706.0;10.39;45513.0
332;Simple Simpson;2004-05-02;7.3;600.0;9.5;46273.0
367;We're on the Road to D'ohwhere;2006-01-29;7.0;535.0;9.04;43599.0
346;On a Clear Day I Can't See My Sister;2005-03-06;6.9;572.0;10.39;46309.0
355;Home Away from Homer;2005-05-15;7.1;546.0;8.17;44606.0
336;Treehouse of Horror XV;2004-11-07;7.4;666.0;11.29;72271.0
341;Midnight Rx;2005-01-16;7.3;554.0;8.11;43118.0
344;Pranksta Rap;2005-02-13;6.8;607.0;8.01;42759.0
194;Dumbbell Indemnity;1998-03-01;7.6;887.0;10.3;21214.0
375;Girls Just Want to Have Sums;2006-04-30;7.2;582.0;8.7;45267.0
377;The Monkey Suit;2006-05-14;7.1;596.0;8.3;48419.0
396;The Boys of Bummer;2007-04-29;6.3;585.0;7.57;44770.0
405;Treehouse of Horror XVIII;2007-11-04;7.1;687.0;11.7;69957.0
393;Rome-Old and Juli-Eh;2007-03-11;6.3;606.0;8.98;41751.0
416;Papa Don't Leech;2008-04-13;6.1;585.0;6.9;39238.0
378;Marge and Homer Turn a Couple Play;2006-05-21;6.6;587.0;8.23;42778.0
388;The Wife Aquatic;2007-01-07;6.6;615.0;13.9;41312.0
423;Double, Double, Boy in Trouble;2008-10-19;7.0;638.0;8.09;45781.0
382;Treehouse of Horror XVII;2006-11-05;7.1;723.0;10.43;68799.0
411;That '90s Show;2008-01-27;6.3;1069.0;7.6;43485.0
428;The Burns and the Bees;2008-12-07;6.6;615.0;6.19;38247.0
384;Moe'N'a Lisa;2006-11-19;6.8;605.0;9.31;37177.0
386;The Haw-Hawed Couple;2006-12-10;7.2;578.0;8.29;41161.0
407;Husbands and Knives;2007-11-18;7.1;762.0;10.5;44445.0
420;All About Lisa;2008-05-18;6.4;538.0;6.11;44616.0
400;You Kent Always Say What You Want;2007-05-20;7.3;692.0;9.8;45281.0
425;Dangerous Curves;2008-11-09;6.6;615.0;8.16;40078.0
391;Springfield Up;2007-02-18;7.3;617.0;8.8;45036.0
389;Revenge Is a Dish Best Served Three Times;2007-01-28;7.0;580.0;8.09;67621.0
395;Marge Gamer;2007-04-22;7.3;678.0;6.4;47107.0
398;Stop! Or My Dog Will Shoot;2007-05-13;7.0;569.0;6.48;42892.0
414;Dial 'N' for Nerder;2008-03-09;7.3;626.0;7.3;41658.0
412;Love, Springfieldian Style;2008-02-17;6.6;636.0;7.81;40507.0
427;MyPods and Boomsticks;2008-11-30;7.1;728.0;7.8;40353.0
421;Sex, Pies and Idiot Scrapes;2008-09-28;7.2;780.0;9.3;45735.0
418;Any Given Sundance;2008-05-04;7.0;585.0;6.18;41440.0
206;Bart the Mother;1998-09-27;7.5;899.0;7.35;43240.0
430;Take My Life, Please;2009-02-15;7.0;591.0;6.82;40679.0
432;No Loan Again, Naturally;2009-03-08;7.0;582.0;5.99;41165.0
465;Elementary School Musical;2010-09-26;6.3;691.0;7.75;31638.0
439;Waverly Hills, 9-0-2-1-D'oh;2009-05-03;7.1;613.0;6.75;45032.0
463;The Bob Next Door;2010-05-16;7.2;545.0;6.26;43446.0
437;The Good, the Sad and the Drugly;2009-04-19;7.2;605.0;6.5;45179.0
451;Once Upon a Time in Springfield;2010-01-10;6.7;552.0;14.62;40194.0
443;Bart Gets a 'Z';2009-10-04;6.6;585.0;9.32;38196.0
436;Eeny Teeny Maya Moe;2009-04-05;7.2;604.0;6.5;40864.0
459;Chief of Hearts;2010-04-18;6.9;482.0;5.93;41528.0
444;The Great Wife Hope;2009-10-11;6.3;562.0;7.5;39134.0
461;To Surveil with Love;2010-05-02;7.2;519.0;6.06;45738.0
479;The Scorpion's Tale;2011-03-06;6.7;489.0;6.2;42142.0
477;The Blue and the Gray;2011-02-13;6.9;461.0;5.61;42028.0
454;The Color Yellow;2010-02-21;6.6;496.0;6.08;41059.0
470;The Fool Monty;2010-11-21;6.5;479.0;6.58;38097.0
449;O Brother, Where Bart Thou?;2009-12-13;7.2;542.0;7.11;38097.0
453;Boy Meets Curl;2010-02-14;6.8;525.0;5.87;44945.0
481;Love Is a Many Strangled Thing;2011-03-27;6.5;470.0;6.14;41202.0
446;The Devil Wears Nada;2009-11-15;6.7;560.0;9.04;42893.0
484;Homer Scissorhands;2011-05-08;7.2;483.0;5.48;46154.0
456;Stealing First Base;2010-03-21;7.0;554.0;5.69;40487.0
471;How Munched is That Birdie in the Window?;2010-11-28;6.4;489.0;9.38;37568.0
483;The Real Housewives of Fat Tony;2011-05-01;6.6;486.0;6.1;41638.0
474;Moms I'd Like to Forget;2011-01-09;6.3;464.0;12.6;41253.0
467;MoneyBart;2010-10-10;6.8;501.0;6.72;39073.0
475;Flaming Moe;2011-01-16;6.9;520.0;6.47;42734.0
217;I'm with Cupid;1999-02-14;7.3;815.0;7.7;46822.0
488;Bart Stops to Smell the Roosevelts;2011-10-02;7.0;528.0;6.19;37642.0
490;Replaceable You;2011-11-06;6.7;491.0;7.97;38034.0
497;The D'oh-cial Network;2012-01-15;7.0;553.0;11.48;43275.0
540;Married to the Blob;2014-01-12;7.1;475.0;4.83;40646.0
507;Ned 'n Edna's Blend;2012-05-13;6.7;408.0;4.07;47005.0
512;Gone Abie Gone;2012-11-11;6.7;415.0;6.86;35136.0
517;Homer Goes to Prep School;2013-01-06;6.9;411.0;8.97;42306.0
533;Four Regrettings and a Funeral;2013-11-03;6.5;482.0;5.43;39301.0
537;Yellow Subterfuge;2013-12-08;7.0;440.0;6.85;43717.0
505;A Totally Fun Thing That Bart Will Never Do Again;2012-04-29;7.4;568.0;5.0;53058.0
492;The Book Job;2011-11-20;7.8;712.0;5.77;42780.0
499;The Daughter Also Rises;2012-02-12;6.5;490.0;4.26;40669.0
539;Steal This Episode;2014-01-05;7.6;648.0;12.04;45354.0
501;Exit Through the Kwik-E-Mart;2012-03-04;6.9;425.0;5.09;45133.0
523;Black Eyed, Please;2013-03-10;7.0;418.0;4.85;42925.0
503;Them, Robot;2012-03-18;7.1;493.0;5.25;43615.0
532;Treehouse of Horror XXIV;2013-10-06;7.1;654.0;6.42;64758.0
526;Pulpit Friction;2013-04-28;6.5;405.0;4.54;41184.0
519;The Changing of the Guardian;2013-01-27;6.6;405.0;5.23;42215.0
509;Moonshine River;2012-09-30;6.4;597.0;8.08;36570.0
514;A Tree Grows in Springfield;2012-11-25;6.5;430.0;7.46;43211.0
510;Treehouse of Horror XXIII;2012-10-07;7.3;600.0;6.57;67484.0
515;The Day the Earth Stood Cool;2012-12-09;7.2;493.0;7.44;40649.0
521;Hardly Kirk-ing;2013-02-17;7.0;406.0;4.57;42807.0
528;The Fabulous Faker Boy;2013-05-12;6.3;410.0;4.16;42426.0
535;Labor Pains;2013-11-17;7.1;442.0;4.08;40671.0
530;Dangers on a Train;2013-05-19;7.0;396.0;4.52;44984.0
218;"Marge Simpson in: ""Screaming Yellow Honkers""";1999-02-21;7.3;831.0;8.6;52778.0
544;The Winter of His Content;2014-03-16;6.6;407.0;4.02;44271.0
549;What to Expect When Bart's Expecting;2014-04-27;5.8;445.0;3.45;48760.0
560;Covercraft;2014-11-23;6.5;431.0;3.45;38432.0
565;Walking Big & Tall;2015-02-08;6.3;377.0;2.78;36221.0
551;Pay Pal;2014-05-11;6.7;402.0;3.66;51132.0
563;Bart's New Friend;2015-01-11;7.3;434.0;4.28;39702.0
568;Sky Police;2015-03-08;6.9;377.0;3.79;43023.0
553;Clown in the Dumps;2014-09-28;5.8;652.0;8.53;29526.0
555;Super Franchise Me;2014-10-12;6.5;457.0;7.33;42912.0
561;I Won't Be Home for Christmas;2014-12-07;6.8;432.0;6.52;37064.0
556;Treehouse of Horror XXV;2014-10-19;7.3;612.0;7.76;65425.0
566;My Fare Lady;2015-02-15;6.7;360.0;2.67;35846.0
31;Brush with Greatness;1991-04-11;8.0;1257.0;20.6;58561.0
45;Flaming Moe's;1991-11-21;8.8;1618.0;23.9;58968.0
5;Bart the General;1990-02-04;8.1;1732.0;27.1;63129.0
59;Brother, Can You Spare Two Dimes?;1992-08-27;8.2;1227.0;17.2;50936.0
62;Homer the Heretic;1992-10-08;9.0;1747.0;19.3;64605.0
83;Cape Feare;1993-10-07;9.0;2010.0;20.0;65585.0
88;Bart's Inner Child;1993-11-11;7.7;1085.0;18.7;74139.0
96;Deep Space Homer;1994-02-24;8.8;1505.0;18.2;75439.0
100;Sweet Seymour Skinner's Baadasssss Song;1994-04-28;8.4;1118.0;19.7;66406.0
101;The Boy Who Knew Too Much;1994-05-05;8.2;1103.0;15.5;74427.0
109;Treehouse of Horror V;1994-10-30;9.0;1690.0;22.2;119295.0
128;Who Shot Mr. Burns? (Part One);1995-05-21;9.1;1619.0;15.0;86070.0
155;You Only Move Twice;1996-11-03;9.2;2439.0;13.9;79609.0
162;El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer);1997-01-05;8.5;1383.0;14.9;64743.0
176;Homer's Enemy;1997-05-04;9.2;2256.0;11.8;74177.0
182;Treehouse of Horror VIII;1997-10-26;8.1;1019.0;10.9;30963.0
185;The Two Mrs. Nahasapeemapetilons;1997-11-16;7.7;905.0;11.4;19419.0
209;D'oh-in' in the Wind;1998-11-15;7.6;901.0;8.3;45779.0
256;Skinner's Sense of Snow;2000-12-17;8.0;836.0;15.9;56755.0
257;HOMR;2001-01-07;8.0;899.0;18.5;68784.0
266;Trilogy of Error;2001-04-29;8.6;1095.0;14.4;53728.0
291;Poppa's Got a Brand New Badge;2002-05-22;8.0;701.0;8.2;53639.0
292;Treehouse of Horror XIII;2002-11-03;7.6;752.0;16.7;71817.0
495;Holidays of Future Passed;2011-12-11;8.2;905.0;6.43;69460.0
558;Simpsorama;2014-11-09;7.9;977.0;6.7;48223.0
3;Homer's Odyssey;1990-01-21;7.5;1709.0;27.5;78072.0
235;Grift of the Magi;1999-12-19;7.3;809.0;7.76;48070.0
250;A Tale of Two Springfields;2000-11-05;7.4;803.0;16.2;40990.0
253;Homer vs. Dignity;2000-11-26;7.2;762.0;15.0;44005.0
282;The Old Man and the Key;2002-03-10;6.5;623.0;14.5;41049.0
307;'Scuse Me While I Miss the Sky;2003-03-30;7.1;555.0;12.6;43756.0
324;Margical History Tour;2004-02-08;7.1;575.0;8.9;42492.0
348;Mobile Homer;2005-03-20;7.0;530.0;8.49;45489.0
351;Don't Fear the Roofer;2005-05-01;7.4;661.0;11.92;41620.0
369;The Seemingly Never-Ending Story;2006-03-12;7.4;642.0;9.72;48854.0
371;Homer Simpson, This Is Your Wife;2006-03-26;6.5;854.0;10.09;41323.0
374;The Wettest Stories Ever Told;2006-04-23;6.7;549.0;7.04;42280.0
403;Midnight Towboy;2007-10-07;7.2;637.0;7.7;35926.0
426;Homer and Lisa Exchange Cross Words;2008-11-16;7.1;599.0;8.52;38879.0
445;Treehouse of Horror XX;2009-10-18;7.3;671.0;8.59;66209.0
458;American History X-cellent;2010-04-11;6.7;482.0;5.65;44645.0
460;The Squirt and the Whale;2010-04-25;6.9;511.0;5.94;40632.0
468;Treehouse of Horror XXI;2010-11-07;7.1;680.0;8.19;61954.0
493;The Man in the Blue Flannel Pants;2011-11-27;6.8;493.0;5.61;41687.0
524;Dark Knight Court;2013-03-17;7.1;417.0;4.89;44170.0
529;The Saga of Carl;2013-05-19;7.2;460.0;4.01;42996.0
546;You Don't Have to Live Like a Referee;2014-03-30;6.9;430.0;3.91;42080.0
567;The Princess Guide;2015-03-01;6.6;372.0;3.93;34137.0
262;New Kids on the Blecch;2001-02-25;7.2;833.0;18.1;50903.0
277;Sweets and Sour Marge;2002-01-20;7.0;649.0;12.3;54348.0
290;The Frying Game;2002-05-19;7.1;642.0;10.8;48954.0
303;I'm Spelling As Fast As I Can;2003-02-16;7.3;628.0;22.1;42885.0
304;A Star Is Born-Again;2003-03-02;7.1;599.0;14.4;42185.0
317;The Regina Monologues;2003-11-23;7.1;705.0;12.2;43134.0
356;The Father, the Son, and the Holy Guest Star;2005-05-15;7.2;635.0;9.69;48303.0
361;Marge's Son Poisoning;2005-11-13;6.9;578.0;11.4;39428.0
373;Kiss Kiss, Bang Bangalore;2006-04-09;7.2;677.0;8.2;47829.0
380;Jazzy and the Pussycats;2006-09-17;6.7;671.0;8.94;33495.0
401;He Loves to Fly and He D'ohs;2007-09-23;6.7;706.0;9.7;36253.0
404;I Don't Wanna Know Why the Caged Bird Sings;2007-10-14;6.9;620.0;8.8;35850.0
409;Eternal Moonshine of the Simpson Mind;2007-12-16;8.2;949.0;10.15;44862.0
429;Lisa the Drama Queen;2009-01-25;5.9;706.0;5.75;38582.0
431;How the Test Was Won;2009-03-01;7.0;603.0;6.52;41271.0
434;In the Name of the Grandfather;2009-03-22;6.3;619.0;6.15;45727.0
435;Wedding for Disaster;2009-03-29;6.8;571.0;6.58;43254.0
486;The Ned-Liest Catch;2011-05-22;7.0;492.0;5.25;43681.0
500;At Long Last Leave;2012-02-19;7.0;580.0;5.77;45226.0
502;How I Wet Your Mother;2012-03-11;7.3;541.0;4.97;44818.0
511;Adventures in Baby-Getting;2012-11-04;6.9;460.0;5.65;39687.0
542;Diggs;2014-03-09;6.4;473.0;2.69;39292.0
548;Days of Future Future;2014-04-13;7.0;504.0;3.64;55742.0
